set,path,label,x_relative_min,y_relative_min,x_relative_max,y_relative_min,x_relative_max,y_relative_max,x_relative_min,y_relative_max
TRAIN,ID_0H3KHKRV.jpg,fruit_healthy,92.5,178.5,343.0,178.5,343.0,373.5,92.5,373.5
TRAIN,ID_0H68C2ZJ.jpg,fruit_woodiness,154.0,175.5,362.0,175.5,362.0,289.0,154.0,289.0
TRAIN,ID_0HUIQ8FI.jpg,fruit_healthy,91.0,164.0,409.5,164.0,409.5,396.5,91.0,396.5
TRAIN,ID_0HWBQ5O5.jpg,fruit_healthy,14.5,118.0,337.5,118.0,337.5,389.5,14.5,389.5
TRAIN,ID_0J2DOODF.jpg,fruit_healthy,83.5,217.5,324.0,217.5,324.0,406.5,83.5,406.5
TRAIN,ID_0JAK8QSJ.jpg,fruit_healthy,153.0,197.5,428.0,197.5,428.0,423.5,153.0,423.5
TRAIN,ID_0JOUSB83.jpg,fruit_healthy,80.5,135.5,399.0,135.5,399.0,391.0,80.5,391.0
TRAIN,ID_0JOUSB83.jpg,fruit_healthy,210.0,0.0,402.0,0.0,402.0,79.0,210.0,79.0
TRAIN,ID_0JOUSB83.jpg,fruit_healthy,0.0,366.0,203.5,366.0,203.5,512.0,0.0,512.0
TRAIN,ID_0KYI1FGP.jpg,fruit_woodiness,177.0,148.0,380.0,148.0,380.0,445.5,177.0,445.5
TRAIN,ID_0LMJ61A2.jpg,fruit_woodiness,133.5,127.5,365.5,127.5,365.5,396.0,133.5,396.0
TRAIN,ID_0LO14LKW.jpg,fruit_healthy,106.5,206.0,337.0,206.0,337.0,399.0,106.5,399.0
TRAIN,ID_0LZMACHS.jpg,fruit_brownspot,219.5,155.0,420.5,155.0,420.5,312.0,219.5,312.0
TRAIN,ID_0NJZTSMZ.jpg,fruit_brownspot,49.5,136.0,464.0,136.0,464.0,464.0,49.5,464.0
TRAIN,ID_0NYVMY7R.jpg,fruit_healthy,114.0,150.5,402.5,150.5,402.5,367.5,114.0,367.5
TRAIN,ID_0O0ENHRD.jpg,fruit_healthy,158.0,189.0,416.0,189.0,416.0,396.5,158.0,396.5
TRAIN,ID_0OK0ZGEJ.jpg,fruit_healthy,229.5,201.0,336.0,201.0,336.0,306.0,229.5,306.0
TRAIN,ID_0OK0ZGEJ.jpg,fruit_healthy,134.0,219.5,290.5,219.5,290.5,345.0,134.0,345.0
TRAIN,ID_0ONXVO0U.jpg,fruit_healthy,103.0,147.0,342.0,147.0,342.0,336.0,103.0,336.0
TRAIN,ID_0PDBN2WB.jpg,fruit_healthy,99.5,145.5,396.5,145.5,396.5,365.5,99.5,365.5
TRAIN,ID_0PDBN2WB.jpg,fruit_healthy,0.0,0.0,177.0,0.0,177.0,225.5,0.0,225.5
TRAIN,ID_0PDBN2WB.jpg,fruit_healthy,439.5,118.0,512.0,118.0,512.0,337.0,439.5,337.0
TRAIN,ID_0QTDR6JA.jpg,fruit_brownspot,129.5,150.5,382.5,150.5,382.5,302.5,129.5,302.5
TRAIN,ID_0RBF0NUX.jpg,fruit_brownspot,182.0,234.0,348.5,234.0,348.5,316.5,182.0,316.5
TRAIN,ID_0RTEJ69Z.jpg,fruit_woodiness,158.0,170.5,384.5,170.5,384.5,354.5,158.0,354.5
TRAIN,ID_0RYW3APB.jpg,fruit_healthy,87.0,132.5,408.0,132.5,408.0,383.5,87.0,383.5
TRAIN,ID_0S1J1BX0.jpg,fruit_woodiness,141.5,128.0,286.5,128.0,286.5,316.5,141.5,316.5
TRAIN,ID_0S642DXA.jpg,fruit_woodiness,155.0,216.5,360.0,216.5,360.0,391.0,155.0,391.0
TRAIN,ID_0SZ8CX5Z.jpg,fruit_brownspot,158.5,152.0,366.5,152.0,366.5,402.5,158.5,402.5
TRAIN,ID_0TOSPSKI.jpg,fruit_brownspot,148.5,99.0,327.5,99.0,327.5,315.5,148.5,315.5
TRAIN,ID_0U323BJY.jpg,fruit_brownspot,166.5,90.5,470.5,90.5,470.5,318.5,166.5,318.5
TRAIN,ID_0U323BJY.jpg,fruit_brownspot,328.0,0.0,472.0,0.0,472.0,68.0,328.0,68.0
TRAIN,ID_0U7IM2K7.jpg,fruit_healthy,414.0,224.5,512.0,224.5,512.0,361.5,414.0,361.5
TRAIN,ID_0U7IM2K7.jpg,fruit_healthy,120.0,200.0,420.0,200.0,420.0,425.0,120.0,425.0
TRAIN,ID_0VEO3MWG.jpg,fruit_woodiness,4.5,160.0,368.5,160.0,368.5,419.5,4.5,419.5
TRAIN,ID_0VM4L0BV.jpg,fruit_woodiness,47.0,167.0,382.0,167.0,382.0,404.5,47.0,404.5
TRAIN,ID_0VWM4W9V.jpg,fruit_woodiness,52.0,122.0,265.5,122.0,265.5,409.0,52.0,409.0
TRAIN,ID_0VWM4W9V.jpg,fruit_woodiness,335.0,192.5,485.0,192.5,485.0,400.5,335.0,400.5
TRAIN,ID_0WI80UEN.jpg,fruit_woodiness,25.5,172.5,213.0,172.5,213.0,327.0,25.5,327.0
TRAIN,ID_0WS2L54F.jpg,fruit_healthy,42.5,151.5,378.5,151.5,378.5,427.0,42.5,427.0
TRAIN,ID_0X0QGVK3.jpg,fruit_woodiness,33.0,4.0,115.0,4.0,115.0,69.5,33.0,69.5
TRAIN,ID_0X0QGVK3.jpg,fruit_woodiness,143.5,210.0,329.5,210.0,329.5,345.0,143.5,345.0
TRAIN,ID_0XK8FIU7.jpg,fruit_brownspot,72.0,114.5,353.5,114.5,353.5,365.5,72.0,365.5
TRAIN,ID_0XL4GFEG.jpg,fruit_brownspot,0.0,88.0,290.5,88.0,290.5,374.0,0.0,374.0
TRAIN,ID_0Y8I7N0K.jpg,fruit_healthy,69.5,155.5,372.5,155.5,372.5,399.5,69.5,399.5
TRAIN,ID_0Y8I7N0K.jpg,fruit_healthy,339.5,343.0,463.5,343.0,463.5,447.5,339.5,447.5
TRAIN,ID_0YOHMRCG.jpg,fruit_woodiness,171.0,161.0,411.5,161.0,411.5,363.5,171.0,363.5
TRAIN,ID_10FHV8KR.jpg,fruit_brownspot,87.5,128.5,390.5,128.5,390.5,348.5,87.5,348.5
TRAIN,ID_10NJ9FTJ.jpg,fruit_healthy,85.0,138.5,325.0,138.5,325.0,357.0,85.0,357.0
TRAIN,ID_10NJ9FTJ.jpg,fruit_healthy,86.0,330.0,174.5,330.0,174.5,403.0,86.0,403.0
TRAIN,ID_10UELAXU.jpg,fruit_healthy,353.0,230.0,489.0,230.0,489.0,340.0,353.0,340.0
TRAIN,ID_10UELAXU.jpg,fruit_healthy,94.0,137.0,355.0,137.0,355.0,350.0,94.0,350.0
TRAIN,ID_11MA23BO.jpg,fruit_healthy,86.0,134.0,388.0,134.0,388.0,403.0,86.0,403.0
TRAIN,ID_12KGCZGT.jpg,fruit_woodiness,189.5,48.5,461.0,48.5,461.0,418.5,189.5,418.5
TRAIN,ID_12KXY85J.jpg,fruit_brownspot,0.0,1.0,358.5,1.0,358.5,278.5,0.0,278.5
TRAIN,ID_12NUBJO7.jpg,fruit_woodiness,62.5,201.0,288.5,201.0,288.5,361.5,62.5,361.5
TRAIN,ID_130UKKIQ.jpg,fruit_woodiness,202.5,236.5,425.0,236.5,425.0,418.5,202.5,418.5
TRAIN,ID_137V5ZGA.jpg,fruit_healthy,113.0,192.5,371.5,192.5,371.5,396.5,113.0,396.5
TRAIN,ID_13DOIJXI.jpg,fruit_healthy,363.0,331.5,412.5,331.5,412.5,377.5,363.0,377.5
TRAIN,ID_13DOIJXI.jpg,fruit_healthy,431.0,308.0,485.5,308.0,485.5,352.0,431.0,352.0
TRAIN,ID_13DOIJXI.jpg,fruit_healthy,122.5,217.0,342.0,217.0,342.0,399.5,122.5,399.5
TRAIN,ID_13DOIJXI.jpg,fruit_healthy,238.0,441.5,356.5,441.5,356.5,512.0,238.0,512.0
TRAIN,ID_13KLHZ84.jpg,fruit_healthy,105.5,145.5,360.5,145.5,360.5,356.5,105.5,356.5
TRAIN,ID_13RO29TQ.jpg,fruit_healthy,55.5,128.5,342.0,128.5,342.0,365.5,55.5,365.5
TRAIN,ID_13S0X1B7.jpg,fruit_healthy,89.5,160.5,334.0,160.5,334.0,347.0,89.5,347.0
TRAIN,ID_14WJ2G5F.jpg,fruit_healthy,2.5,159.0,184.5,159.0,184.5,330.0,2.5,330.0
TRAIN,ID_14WJ2G5F.jpg,fruit_healthy,96.0,173.5,370.0,173.5,370.0,399.0,96.0,399.0
TRAIN,ID_14XDYDIZ.jpg,fruit_woodiness,88.0,194.5,268.5,194.5,268.5,340.5,88.0,340.5
TRAIN,ID_1556EWHZ.jpg,fruit_healthy,49.5,160.5,330.0,160.5,330.0,375.0,49.5,375.0
TRAIN,ID_155F7V9D.jpg,fruit_healthy,124.0,165.0,409.0,165.0,409.0,403.0,124.0,403.0
TRAIN,ID_159F8L4G.jpg,fruit_woodiness,182.5,96.5,380.0,96.5,380.0,351.0,182.5,351.0
TRAIN,ID_15I17L8O.jpg,fruit_woodiness,123.0,189.5,365.5,189.5,365.5,512.0,123.0,512.0
TRAIN,ID_15NA5PT4.jpg,fruit_healthy,64.5,163.0,333.0,163.0,333.0,387.0,64.5,387.0
TRAIN,ID_15NA5PT4.jpg,fruit_healthy,18.5,76.5,109.0,76.5,109.0,150.5,18.5,150.5
TRAIN,ID_1683INT6.jpg,fruit_woodiness,163.5,260.5,328.5,260.5,328.5,383.5,163.5,383.5
TRAIN,ID_16NU2S2G.jpg,fruit_healthy,126.5,217.0,369.0,217.0,369.0,432.0,126.5,432.0
TRAIN,ID_18B7GZ7X.jpg,fruit_healthy,86.5,120.0,411.5,120.0,411.5,394.5,86.5,394.5
TRAIN,ID_18I4OXJC.jpg,fruit_woodiness,236.0,193.5,466.0,193.5,466.0,477.5,236.0,477.5
TRAIN,ID_18JZHIGV.jpg,fruit_woodiness,182.5,118.0,512.0,118.0,512.0,357.5,182.5,357.5
TRAIN,ID_18K75Z5R.jpg,fruit_woodiness,204.5,110.5,363.0,110.5,363.0,324.0,204.5,324.0
TRAIN,ID_18K75Z5R.jpg,fruit_woodiness,321.0,260.5,436.0,260.5,436.0,413.0,321.0,413.0
TRAIN,ID_1925W2TG.jpg,fruit_brownspot,239.5,102.5,488.5,102.5,488.5,398.0,239.5,398.0
TRAIN,ID_19Q70DH0.jpg,fruit_healthy,137.0,210.0,407.5,210.0,407.5,434.5,137.0,434.5
TRAIN,ID_1A3M5B3O.jpg,fruit_brownspot,61.0,117.5,407.0,117.5,407.0,397.0,61.0,397.0
TRAIN,ID_1AIDFP93.jpg,fruit_brownspot,49.5,264.0,310.5,264.0,310.5,413.5,49.5,413.5
TRAIN,ID_1ASKO79S.jpg,fruit_woodiness,201.5,124.0,372.5,124.0,372.5,356.5,201.5,356.5
TRAIN,ID_1AY9J44D.jpg,fruit_healthy,80.0,260.5,342.0,260.5,342.0,482.0,80.0,482.0
TRAIN,ID_1B7BG67C.jpg,fruit_brownspot,178.5,173.5,368.0,173.5,368.0,317.5,178.5,317.5
TRAIN,ID_1B9Y5BWW.jpg,fruit_woodiness,0.0,118.0,223.5,118.0,223.5,367.0,0.0,367.0
TRAIN,ID_1CEUOSGT.jpg,fruit_woodiness,234.0,22.0,437.0,22.0,437.0,304.0,234.0,304.0
TRAIN,ID_1CEUOSGT.jpg,fruit_woodiness,373.5,335.5,466.0,335.5,466.0,463.5,373.5,463.5
TRAIN,ID_1CHA3ARZ.jpg,fruit_brownspot,77.5,132.5,412.5,132.5,412.5,315.5,77.5,315.5
TRAIN,ID_1EPW80PA.jpg,fruit_brownspot,0.0,150.5,332.0,150.5,332.0,380.0,0.0,380.0
TRAIN,ID_1FUN5QO7.jpg,fruit_healthy,95.5,138.0,339.5,138.0,339.5,352.0,95.5,352.0
TRAIN,ID_1GKLPEE0.jpg,fruit_healthy,113.0,172.5,400.5,172.5,400.5,426.0,113.0,426.0
TRAIN,ID_1H8XOHZ9.jpg,fruit_brownspot,56.5,141.0,343.0,141.0,343.0,389.0,56.5,389.0
TRAIN,ID_1HHF5LHI.jpg,fruit_healthy,92.5,22.0,246.0,22.0,246.0,144.5,92.5,144.5
TRAIN,ID_1HHF5LHI.jpg,fruit_healthy,393.0,364.0,486.5,364.0,486.5,443.0,393.0,443.0
TRAIN,ID_1HHF5LHI.jpg,fruit_healthy,306.0,305.5,406.5,305.5,406.5,397.0,306.0,397.0
TRAIN,ID_1HHF5LHI.jpg,fruit_healthy,130.0,246.0,328.5,246.0,328.5,408.0,130.0,408.0
TRAIN,ID_1HIE2XYE.jpg,fruit_healthy,36.5,94.5,360.5,94.5,360.5,346.0,36.5,346.0
TRAIN,ID_1HIE2XYE.jpg,fruit_healthy,341.0,314.0,462.5,314.0,462.5,418.5,341.0,418.5
TRAIN,ID_1HTFY0PN.jpg,fruit_healthy,124.0,195.0,358.0,195.0,358.0,401.0,124.0,401.0
TRAIN,ID_1HTFY0PN.jpg,fruit_healthy,243.0,319.0,454.0,319.0,454.0,489.0,243.0,489.0
TRAIN,ID_1I0XAT8J.jpg,fruit_woodiness,44.5,74.5,299.0,74.5,299.0,288.0,44.5,288.0
TRAIN,ID_1I43PAA9.jpg,fruit_healthy,79.0,147.0,452.5,147.0,452.5,436.5,79.0,436.5
TRAIN,ID_1IB219OR.jpg,fruit_healthy,137.5,170.0,359.5,170.0,359.5,352.0,137.5,352.0
TRAIN,ID_1IB219OR.jpg,fruit_healthy,0.0,0.0,242.0,0.0,242.0,179.5,0.0,179.5
TRAIN,ID_1IB219OR.jpg,fruit_healthy,180.0,379.0,400.0,379.0,400.0,512.0,180.0,512.0
TRAIN,ID_1IPHLY2G.jpg,fruit_healthy,52.0,138.5,389.5,138.5,389.5,414.0,52.0,414.0
TRAIN,ID_1JA4EE71.jpg,fruit_woodiness,343.5,322.5,420.0,322.5,420.0,428.0,343.5,428.0
TRAIN,ID_1JA4EE71.jpg,fruit_woodiness,36.0,347.0,199.5,347.0,199.5,512.0,36.0,512.0
TRAIN,ID_1JA4EE71.jpg,fruit_woodiness,0.0,422.5,67.0,422.5,67.0,512.0,0.0,512.0
TRAIN,ID_1JA4EE71.jpg,fruit_woodiness,185.5,69.5,376.0,69.5,376.0,333.5,185.5,333.5
TRAIN,ID_1JHZ6RXA.jpg,fruit_brownspot,81.0,234.0,420.5,234.0,420.5,471.5,81.0,471.5
TRAIN,ID_1JTBEMWD.jpg,fruit_brownspot,176.0,107.0,474.5,107.0,474.5,367.0,176.0,367.0
TRAIN,ID_1JTBEMWD.jpg,fruit_brownspot,0.0,151.5,85.0,151.5,85.0,354.0,0.0,354.0
TRAIN,ID_1LAKNH3S.jpg,fruit_woodiness,48.0,200.0,328.5,200.0,328.5,436.5,48.0,436.5
TRAIN,ID_1LPMU7LL.jpg,fruit_brownspot,152.0,172.0,448.5,172.0,448.5,391.0,152.0,391.0
TRAIN,ID_1O2FP4YU.jpg,fruit_brownspot,76.5,163.5,360.5,163.5,360.5,399.5,76.5,399.5
TRAIN,ID_1OPNPBQE.jpg,fruit_brownspot,48.5,144.5,312.5,144.5,312.5,359.5,48.5,359.5
TRAIN,ID_1OR9OFJE.jpg,fruit_healthy,57.5,120.0,389.5,120.0,389.5,370.0,57.5,370.0
TRAIN,ID_1OXALX7H.jpg,fruit_woodiness,240.0,137.5,384.5,137.5,384.5,333.5,240.0,333.5
TRAIN,ID_1P9Q5HHU.jpg,fruit_woodiness,119.5,108.5,388.5,108.5,388.5,480.5,119.5,480.5
TRAIN,ID_1PVZCA10.jpg,fruit_woodiness,15.0,251.0,238.0,251.0,238.0,430.0,15.0,430.0
TRAIN,ID_1PW5GBQA.jpg,fruit_woodiness,142.5,198.5,362.0,198.5,362.0,473.0,142.5,473.0
TRAIN,ID_1Q62A808.jpg,fruit_healthy,128.0,130.5,452.5,130.5,452.5,394.0,128.0,394.0
TRAIN,ID_1Q62A808.jpg,fruit_healthy,391.5,0.0,512.0,0.0,512.0,61.0,391.5,61.0
TRAIN,ID_1Q62A808.jpg,fruit_healthy,444.0,164.0,512.0,164.0,512.0,321.5,444.0,321.5
TRAIN,ID_1QJTM8EK.jpg,fruit_brownspot,122.5,56.0,384.0,56.0,384.0,416.0,122.5,416.0
TRAIN,ID_1QPWFMMJ.jpg,fruit_brownspot,67.0,49.0,369.5,49.0,369.5,308.5,67.0,308.5
TRAIN,ID_1R3NVCMF.jpg,fruit_healthy,426.0,166.5,512.0,166.5,512.0,316.5,426.0,316.5
TRAIN,ID_1R3NVCMF.jpg,fruit_healthy,127.5,131.0,428.5,131.0,428.5,372.5,127.5,372.5
TRAIN,ID_1RXMI4BZ.jpg,fruit_brownspot,49.5,37.5,341.5,37.5,341.5,268.0,49.5,268.0
TRAIN,ID_1S28GL3A.jpg,fruit_brownspot,70.0,49.0,366.0,49.0,366.0,296.0,70.0,296.0
TRAIN,ID_1S6Z5XTQ.jpg,fruit_woodiness,226.5,70.5,512.0,70.5,512.0,450.0,226.5,450.0
TRAIN,ID_1SK27OUD.jpg,fruit_brownspot,252.0,105.5,473.5,105.5,473.5,313.5,252.0,313.5
TRAIN,ID_1SNGD5AJ.jpg,fruit_woodiness,161.5,251.5,359.0,251.5,359.0,472.0,161.5,472.0
TRAIN,ID_1SNGD5AJ.jpg,fruit_woodiness,430.5,296.5,477.0,296.5,477.0,372.0,430.5,372.0
TRAIN,ID_1TIQTDG7.jpg,fruit_woodiness,33.0,167.0,289.5,167.0,289.5,370.0,33.0,370.0
TRAIN,ID_1TIQTDG7.jpg,fruit_woodiness,97.5,418.5,221.5,418.5,221.5,512.0,97.5,512.0
TRAIN,ID_1TJA8V5E.jpg,fruit_healthy,256.0,162.5,393.0,162.5,393.0,287.5,256.0,287.5
TRAIN,ID_1TJA8V5E.jpg,fruit_healthy,303.5,63.0,426.0,63.0,426.0,150.5,303.5,150.5
TRAIN,ID_1TJA8V5E.jpg,fruit_healthy,63.0,195.5,323.0,195.5,323.0,410.0,63.0,410.0
TRAIN,ID_1TJA8V5E.jpg,fruit_healthy,242.5,132.0,364.0,132.0,364.0,211.0,242.5,211.0
TRAIN,ID_1TRGVSOQ.jpg,fruit_woodiness,233.0,158.5,428.5,158.5,428.5,414.0,233.0,414.0
TRAIN,ID_1UMJ5PH5.jpg,fruit_brownspot,0.0,175.0,57.5,175.0,57.5,325.0,0.0,325.0
TRAIN,ID_1UMJ5PH5.jpg,fruit_brownspot,150.5,95.5,459.0,95.5,459.0,340.0,150.5,340.0
TRAIN,ID_1UNUW01K.jpg,fruit_healthy,123.5,1.0,298.5,1.0,298.5,138.0,123.5,138.0
TRAIN,ID_1UNUW01K.jpg,fruit_healthy,109.5,212.5,314.0,212.5,314.0,377.0,109.5,377.0
TRAIN,ID_1UWEGMG3.jpg,fruit_healthy,106.5,273.0,311.5,273.0,311.5,439.5,106.5,439.5
TRAIN,ID_1UWEGMG3.jpg,fruit_healthy,75.5,306.0,171.0,306.0,171.0,423.5,75.5,423.5
TRAIN,ID_1V75KS83.jpg,fruit_healthy,130.0,161.5,393.0,161.5,393.0,376.0,130.0,376.0
TRAIN,ID_1V75KS83.jpg,fruit_healthy,380.0,174.5,512.0,174.5,512.0,311.5,380.0,311.5
TRAIN,ID_1V75KS83.jpg,fruit_healthy,299.5,0.0,512.0,0.0,512.0,98.5,299.5,98.5
TRAIN,ID_1VFT1JZ4.jpg,fruit_woodiness,274.0,158.5,501.0,158.5,501.0,398.5,274.0,398.5
TRAIN,ID_1VLS0LOL.jpg,fruit_woodiness,258.0,109.5,389.5,109.5,389.5,305.0,258.0,305.0
TRAIN,ID_1W1Z1QIX.jpg,fruit_brownspot,95.0,110.5,320.5,110.5,320.5,302.5,95.0,302.5
TRAIN,ID_1W4RTQDL.jpg,fruit_healthy,65.5,141.0,347.0,141.0,347.0,376.0,65.5,376.0
TRAIN,ID_1WK27C39.jpg,fruit_healthy,130.0,279.0,240.5,279.0,240.5,382.0,130.0,382.0
TRAIN,ID_1WK27C39.jpg,fruit_healthy,166.0,229.5,350.5,229.5,350.5,377.0,166.0,377.0
TRAIN,ID_1XA2LAB1.jpg,fruit_woodiness,199.5,213.0,402.0,213.0,402.0,451.5,199.5,451.5
TRAIN,ID_1XA8NPXU.jpg,fruit_brownspot,97.0,216.5,332.0,216.5,332.0,398.0,97.0,398.0
TRAIN,ID_1Y4IVHC3.jpg,fruit_brownspot,165.5,98.5,372.0,98.5,372.0,378.5,165.5,378.5
TRAIN,ID_1ZR8Q5ZC.jpg,fruit_woodiness,41.5,116.5,306.5,116.5,306.5,334.5,41.5,334.5
TRAIN,ID_209W33VR.jpg,fruit_healthy,86.0,143.0,343.5,143.0,343.5,355.5,86.0,355.5
TRAIN,ID_20Q8HDPS.jpg,fruit_brownspot,21.5,160.5,359.0,160.5,359.0,359.5,21.5,359.5
TRAIN,ID_21A2KQNZ.jpg,fruit_woodiness,68.0,185.0,270.5,185.0,270.5,350.0,68.0,350.0
TRAIN,ID_21RGSB4L.jpg,fruit_woodiness,119.5,180.0,431.5,180.0,431.5,412.0,119.5,412.0
TRAIN,ID_21VUG5GR.jpg,fruit_woodiness,44.5,254.5,286.5,254.5,286.5,432.0,44.5,432.0
TRAIN,ID_22K5V6RS.jpg,fruit_healthy,109.5,180.5,371.5,180.5,371.5,394.5,109.5,394.5
TRAIN,ID_22K5V6RS.jpg,fruit_healthy,260.5,348.0,422.5,348.0,422.5,486.5,260.5,486.5
TRAIN,ID_22K5V6RS.jpg,fruit_healthy,458.5,381.0,512.0,381.0,512.0,484.0,458.5,484.0
